endpoint,role,contrast,tier,raw_diff,se,pooled_sd,std_effect,ci_lo,ci_hi,p,direction_vs_prereg,holm_p,verdict
target_specificity,primary,A1 graph-vector (avg),averaged,0.013511389326642878,0.04844513609151853,1.0892201168556166,0.012404645413314472,-0.08144107741273343,0.10846385606601919,0.7803209210825792,as-predicted,1.0,not confirmed
target_specificity,primary,A2 hybrid-vector (avg),averaged,0.057357497637039484,0.048423468259002914,1.0892201168556166,0.052659234574752724,-0.037552500150606224,0.1522674954246852,0.23621601749373333,as-predicted,0.9244419228621865,not confirmed
target_specificity,primary,C1 graph-vector | Haiku,generator-specific,0.11652954541150043,0.06811841309735084,1.0892201168556166,0.1069843859916032,-0.016982544259307203,0.25004163508230803,0.08713819930485611,as-predicted,,
target_specificity,primary,C2 hybrid-vector | Haiku,generator-specific,0.19499108387303882,0.06811841309735084,1.0892201168556166,0.17901898877514597,0.061478994202231185,0.32850317354384645,0.004202718593264043,as-predicted,,
target_specificity,primary,C3 graph-vector | GPT,generator-specific,-0.08950676675821467,0.06890481061384185,1.0892201168556166,-0.08217509516497426,-0.22456019556134468,0.04554666204491534,0.19394682900286475,opposite,,
target_specificity,primary,C4 hybrid-vector | GPT,generator-specific,-0.08027608859895985,0.06884432116697597,1.0892201168556166,-0.07370051962564053,-0.21521095808623275,0.05465878088831305,0.24359324448108977,opposite,,
evidence_grounding,primary,A1 graph-vector (avg),averaged,0.08223860357093293,0.04716436166778493,1.1061819193903002,0.07434455592644364,-0.01020354529792554,0.17468075243979142,0.08121842117811817,as-predicted,0.40609210589059086,not confirmed
evidence_grounding,primary,A2 hybrid-vector (avg),averaged,0.12415761531030038,0.047143241514747976,1.1061819193903002,0.11223978003431204,0.03175686194139435,0.21655836867920641,0.008447875518584835,as-predicted,0.05068725311150901,not confirmed
evidence_grounding,primary,C1 graph-vector | Haiku,generator-specific,0.11870221943470052,0.06631710814660745,1.1061819193903002,0.10730804522652677,-0.011279312532650076,0.24868375140205112,0.07346701262209754,as-predicted,,
evidence_grounding,primary,C2 hybrid-vector | Haiku,generator-specific,0.1248560655885468,0.06631710814660743,1.1061819193903002,0.11287118637535165,-0.005125466378803775,0.25483759755589735,0.05973930551839279,as-predicted,,
evidence_grounding,primary,C3 graph-vector | GPT,generator-specific,0.04577498770716533,0.06708222868146518,1.1061819193903002,0.04138106662636048,-0.08570618050850644,0.1772561559228371,0.49500419760633774,as-predicted,,
evidence_grounding,primary,C4 hybrid-vector | GPT,generator-specific,0.12345916503205398,0.06702295639234676,1.1061819193903002,0.11160837369327242,-0.007905829496945682,0.25482415956105364,0.06546886607899505,as-predicted,,
coverage,primary,A1 graph-vector (avg),averaged,-0.05144406217162895,0.042959436046553244,0.9817268539368478,-0.052401604341708506,-0.1356445568228733,0.0327564324796154,0.23111048071554663,opposite,0.9244419228621865,not confirmed
