dimension,dimension_class,mode,n,mean,sd
gherkin_quality,formal,vector,1265,4.8577,0.4842
gherkin_quality,formal,graph,1289,4.8898,0.4192
gherkin_quality,formal,hybrid,1292,4.8584,0.4845
gherkin_quality,formal,graph_minus_vector,2554,0.0321,
gherkin_quality,formal,hybrid_minus_vector,2557,0.0007,
executability,formal,vector,1265,4.4514,1.143
executability,formal,graph,1289,4.3763,1.1751
executability,formal,hybrid,1292,4.4365,1.1427
executability,formal,graph_minus_vector,2554,-0.0751,
executability,formal,hybrid_minus_vector,2557,-0.0149,
requirement_alignment,formal,vector,1265,4.4213,1.1948
requirement_alignment,formal,graph,1289,4.6982,0.7859
requirement_alignment,formal,hybrid,1292,4.5929,0.96
requirement_alignment,formal,graph_minus_vector,2554,0.2769,
requirement_alignment,formal,hybrid_minus_vector,2557,0.1715,
evidence_grounding,context,vector,1265,3.8372,1.4255
evidence_grounding,context,graph,1289,3.9271,1.2983
evidence_grounding,context,hybrid,1292,3.9683,1.3041
evidence_grounding,context,graph_minus_vector,2554,0.0899,
evidence_grounding,context,hybrid_minus_vector,2557,0.1311,
coverage,context,vector,1265,2.8569,1.3333
coverage,context,graph,1289,2.8092,1.2333
coverage,context,hybrid,1292,2.8738,1.2553
coverage,context,graph_minus_vector,2554,-0.0478,
coverage,context,hybrid_minus_vector,2557,0.0169,
target_specificity,context,vector,1265,3.5241,1.4636
target_specificity,context,graph,1289,3.5407,1.4279
target_specificity,context,hybrid,1292,3.582,1.4606
target_specificity,context,graph_minus_vector,2554,0.0166,
target_specificity,context,hybrid_minus_vector,2557,0.0579,
