endpoint,contrast,n_cells,median_diff,wilcoxon_stat,p
target_specificity,graph-vector,130,0.0,1460.5,0.19617053186226985
target_specificity,hybrid-vector,130,0.0,1501.0,0.2018353410460617
evidence_grounding,graph-vector,130,0.0,1053.5,0.354198625831451
evidence_grounding,hybrid-vector,130,0.0,962.5,0.09906268993431352
coverage,graph-vector,130,0.0,1901.5,0.9572635048397128
coverage,hybrid-vector,130,0.0,2036.0,0.4531979399639223
coverage_score,graph-vector,130,0.0,1654.0,0.5589785340797573
coverage_score,hybrid-vector,130,0.0,1619.0,0.45901523089655716
requirement_alignment,graph-vector,130,0.0,121.5,0.00251074236313981
requirement_alignment,hybrid-vector,130,0.0,178.5,0.024753872115856734
gherkin_quality,graph-vector,130,0.0,5.0,0.034808478811867126
gherkin_quality,hybrid-vector,130,0.0,10.5,0.0759333026198021
executability,graph-vector,130,0.0,315.0,0.5800033889957965
executability,hybrid-vector,130,0.0,203.0,0.5407017413386903
