reqId,testId,mode,pipeline,model,repeatIndex,excluded_no_retrieval,n_ground_truth_elements,retrieval_miss,integration_miss,total_miss,retrieval_miss_rate,integration_miss_rate,local_ret_miss,conflict_ret_miss,gap_ret_miss,cross_module_ret_miss,supersede_ret_miss,refine_ret_miss,local_int_miss,conflict_int_miss,gap_int_miss,cross_module_int_miss,supersede_int_miss,refine_int_miss
R25,R25_1,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_2,hybrid,no_retrieval,gpt-4o-mini,0,1,9,7,0,7,1.0,0.0,0,0,0,6,0,1,0,0,0,0,0,0
R25,R25_3,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_4,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_5,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_6,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_7,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_8,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_9,hybrid,no_retrieval,gpt-4o-mini,0,1,9,8,0,8,1.0,0.0,0,0,0,7,0,1,0,0,0,0,0,0
R25,R25_10,hybrid,no_retrieval,gpt-4o-mini,0,1,9,7,0,7,1.0,0.0,0,0,0,6,0,1,0,0,0,0,0,0
R103d,R103d_1,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_2,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_3,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_4,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_5,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_6,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_7,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_8,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_9,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R103d,R103d_10,hybrid,no_retrieval,gpt-4o-mini,0,1,3,1,0,1,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
R41,R41_1,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0
R41,R41_2,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0
R41,R41_3,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0
R41,R41_4,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0
R41,R41_5,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,2,2,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0
R41,R41_6,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,2,2,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0
R41,R41_7,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,2,2,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0
R41,R41_8,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,2,2,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0
R41,R41_9,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,2,2,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0
R41,R41_10,hybrid,no_resolution,gpt-4o-mini,0,0,2,0,2,2,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0
R70,R70_1,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_2,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,3,3,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,0
R70,R70_3,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_4,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_5,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_6,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_7,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_8,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_9,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R70,R70_10,hybrid,no_resolution,gpt-4o-mini,0,0,5,0,4,4,0.0,1.0,0,0,0,0,0,0,0,1,0,2,0,1
R1,R1_1,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_2,hybrid,full,gpt-4o-mini,0,0,4,0,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1
R1,R1_3,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_4,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_5,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_6,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_7,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_8,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_9,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
R1,R1_10,hybrid,full,gpt-4o-mini,0,0,4,0,2,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
