reqId,n_conflicts,n_affects,n_neighbors,n_rel_types,has_conflict,has_cross_module
R1,1,0,3,2,1,0
R100b,0,1,2,2,0,1
R102d,1,0,2,2,1,0
R103d,1,1,2,2,1,1
R2,0,2,3,2,0,1
R21,0,0,1,1,0,0
R22,0,1,1,1,0,1
R23,0,0,1,1,0,0
R24,0,1,1,1,0,1
R25,0,7,9,3,0,1
R26,0,1,1,1,0,1
R29,0,1,3,3,0,1
R3,0,0,2,1,0,0
R30,0,2,2,1,0,1
R31,0,1,2,2,0,1
R31b,0,0,1,1,0,0
R32,0,0,2,1,0,0
R33,1,1,3,3,1,1
R34,0,1,2,2,0,1
R37,0,1,2,2,0,1
R38,0,3,7,2,0,1
R39,0,1,2,2,0,1
R4,0,0,1,1,0,0
R41,0,1,2,2,0,1
R43,1,0,3,3,1,0
R44,0,2,2,1,0,1
R45,0,1,3,3,0,1
R47,0,1,3,3,0,1
R48,0,0,1,1,0,0
R49,1,1,3,3,1,1
R5,0,1,2,2,0,1
R50,2,0,3,2,1,0
R51,1,0,2,2,1,0
R51c,0,0,1,1,0,0
R52c,0,2,2,1,0,1
R58c,1,1,5,4,1,1
R6,0,1,2,2,0,1
R60c,1,2,4,3,1,1
R61,0,0,1,1,0,0
R61c,0,0,2,1,0,0
R62,0,3,4,2,0,1
R63,1,2,7,4,1,1
R64,0,1,2,2,0,1
R65,0,1,2,2,0,1
R69,0,3,5,2,0,1
R7,0,0,2,2,0,0
R70,1,2,4,3,1,1
R71,1,1,3,3,1,1
R71b,0,1,3,3,0,1
R72,0,0,1,1,0,0
R72b,1,2,6,4,1,1
R74,0,1,2,2,0,1
R79b,1,2,4,3,1,1
R80,2,2,5,3,1,1
R81b,0,2,3,2,0,1
R81c,0,0,1,1,0,0
R82b,0,0,1,1,0,0
R83b,0,1,2,2,0,1
R84b,0,1,3,3,0,1
R87b,0,0,1,1,0,0
R91c,0,1,2,2,0,1
R91d,0,1,2,2,0,1
R92c,0,1,1,1,0,1
R93c,0,1,1,1,0,1
R97b,0,1,3,3,0,1
