endpoint,contrast,d_hat,TOST_p(d=0.1),equiv(d=0.1),TOST_p(d=0.2),equiv(d=0.2),TOST_p(d=0.3),equiv(d=0.3)
target_specificity,A1 graph-vector (avg),0.012,0.0245,IGEN,0.0,IGEN,0.0,IGEN
target_specificity,A2 hybrid-vector (avg),0.053,0.1435,nem,0.0005,IGEN,0.0,IGEN
evidence_grounding,A1 graph-vector (avg),0.074,0.2737,nem,0.0016,IGEN,0.0,IGEN
evidence_grounding,A2 hybrid-vector (avg),0.112,0.613,nem,0.0197,IGEN,0.0,IGEN
coverage,A1 graph-vector (avg),-0.052,0.1384,nem,0.0004,IGEN,0.0,IGEN
coverage,A2 hybrid-vector (avg),0.015,0.0265,IGEN,0.0,IGEN,0.0,IGEN
coverage_score,A1 graph-vector (avg),-0.101,0.5093,nem,0.0209,IGEN,0.0,IGEN
coverage_score,A2 hybrid-vector (avg),-0.104,0.5354,nem,0.0243,IGEN,0.0,IGEN
requirement_alignment,A1 graph-vector (avg),0.34,0.9881,nem,0.9066,nem,0.6475,nem
requirement_alignment,A2 hybrid-vector (avg),0.211,0.8396,nem,0.5403,nem,0.2147,nem
gherkin_quality,A1 graph-vector (avg),0.079,0.3102,nem,0.0022,IGEN,0.0,IGEN
gherkin_quality,A2 hybrid-vector (avg),0.0,0.0095,IGEN,0.0,IGEN,0.0,IGEN
executability,A1 graph-vector (avg),-0.09,0.4145,nem,0.0083,IGEN,0.0,IGEN
executability,A2 hybrid-vector (avg),-0.02,0.0409,IGEN,0.0,IGEN,0.0,IGEN
