model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,10,0,4.9,0.3162,0.1,4.6,0.8433,0.2667,3.6,1.2649,0.4,5.0,0.0,0.0,5.0,0.0,0.0,3.0,0.6667,0.2108,4.35,0.4041,0.1278,0.2,0.0
claude-haiku-4-5-20251001,hybrid,full,10,0,5.0,0.0,0.0,4.3,0.9487,0.3,3.5,1.2693,0.4014,5.0,0.0,0.0,5.0,0.0,0.0,2.9,0.9944,0.3145,4.2833,0.4448,0.1407,0.1,0.1
claude-haiku-4-5-20251001,hybrid,no_resolution,10,0,5.0,0.0,0.0,4.8,0.6325,0.2,4.0,1.3333,0.4216,4.9,0.3162,0.1,5.0,0.0,0.0,3.4,0.8433,0.2667,4.5166,0.4678,0.1479,0.2,0.0
claude-haiku-4-5-20251001,hybrid,no_retrieval,10,0,5.0,0.0,0.0,3.2,1.1353,0.359,1.4,0.8433,0.2667,4.6,0.8433,0.2667,5.0,0.0,0.0,2.8,0.6325,0.2,3.6667,0.4714,0.1491,0.3,0.0
claude-haiku-4-5-20251001,vector,full,10,0,4.7,0.6749,0.2134,4.7,0.6749,0.2134,4.5,0.8498,0.2687,5.0,0.0,0.0,5.0,0.0,0.0,3.6,0.9661,0.3055,4.5833,0.4665,0.1475,0.1,0.0
gpt-4o-mini,graph,full,10,0,5.0,0.0,0.0,4.1,0.9944,0.3145,3.8,1.0328,0.3266,5.0,0.0,0.0,5.0,0.0,0.0,2.8,0.9189,0.2906,4.2833,0.4378,0.1384,0.1,0.0
gpt-4o-mini,hybrid,full,10,0,4.8,0.6325,0.2,3.1,1.2867,0.4069,3.1,1.2867,0.4069,4.2,1.0328,0.3266,4.8,0.4216,0.1333,2.1,1.1972,0.3786,3.6833,0.7636,0.2415,0.5,0.0
gpt-4o-mini,hybrid,no_resolution,10,0,5.0,0.0,0.0,3.8,1.3166,0.4163,4.3,1.1595,0.3667,4.6,0.6992,0.2211,5.0,0.0,0.0,3.0,0.9428,0.2981,4.2833,0.5776,0.1827,0.3,0.0
gpt-4o-mini,hybrid,no_retrieval,10,0,4.9,0.3162,0.1,3.5,1.0801,0.3416,1.6,1.3499,0.4269,5.0,0.0,0.0,5.0,0.0,0.0,2.2,0.9189,0.2906,3.7,0.4766,0.1507,0.2,0.0
gpt-4o-mini,vector,full,10,0,4.7,0.6749,0.2134,3.6,1.2649,0.4,3.8,1.6193,0.5121,4.9,0.3162,0.1,5.0,0.0,0.0,2.5,0.8498,0.2687,4.0834,0.677,0.2141,0.2,0.0
