model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,30,0,4.8667,0.5713,0.1043,4.5667,0.7739,0.1413,3.9667,1.2172,0.2222,4.9333,0.3651,0.0667,4.9667,0.1826,0.0333,2.9667,0.6687,0.1221,4.3778,0.4151,0.0758,0.2,0.0
claude-haiku-4-5-20251001,hybrid,full,30,0,5.0,0.0,0.0,4.3,0.8769,0.1601,3.8667,1.1366,0.2075,4.9,0.3051,0.0557,4.9667,0.1826,0.0333,3.1667,0.9129,0.1667,4.3667,0.4207,0.0768,0.1333,0.0333
claude-haiku-4-5-20251001,hybrid,no_resolution,10,0,5.0,0.0,0.0,4.8,0.6325,0.2,4.0,1.3333,0.4216,4.9,0.3162,0.1,5.0,0.0,0.0,3.4,0.8433,0.2667,4.5166,0.4678,0.1479,0.2,0.0
claude-haiku-4-5-20251001,hybrid,no_retrieval,10,0,5.0,0.0,0.0,3.2,1.1353,0.359,1.4,0.8433,0.2667,4.6,0.8433,0.2667,5.0,0.0,0.0,2.8,0.6325,0.2,3.6667,0.4714,0.1491,0.3,0.0
claude-haiku-4-5-20251001,vector,full,30,0,4.6667,0.6609,0.1207,4.4667,0.7303,0.1333,4.2,0.9248,0.1688,5.0,0.0,0.0,5.0,0.0,0.0,3.3,0.8769,0.1601,4.4389,0.4431,0.0809,0.1,0.0
gpt-4o-mini,graph,full,30,0,4.9333,0.3651,0.0667,4.4667,0.8604,0.1571,4.0667,1.1427,0.2086,5.0,0.0,0.0,5.0,0.0,0.0,3.0,0.8305,0.1516,4.4111,0.4436,0.081,0.1333,0.0
gpt-4o-mini,hybrid,full,30,0,4.8667,0.5074,0.0926,3.2667,1.2299,0.2245,3.2333,1.3309,0.243,4.2667,1.1427,0.2086,4.7667,0.5683,0.1038,2.2333,0.9714,0.1774,3.7722,0.7786,0.1422,0.4,0.0
gpt-4o-mini,hybrid,no_resolution,10,0,5.0,0.0,0.0,3.8,1.3166,0.4163,4.3,1.1595,0.3667,4.6,0.6992,0.2211,5.0,0.0,0.0,3.0,0.9428,0.2981,4.2833,0.5776,0.1827,0.3,0.0
gpt-4o-mini,hybrid,no_retrieval,10,0,4.9,0.3162,0.1,3.5,1.0801,0.3416,1.6,1.3499,0.4269,5.0,0.0,0.0,5.0,0.0,0.0,2.2,0.9189,0.2906,3.7,0.4766,0.1507,0.2,0.0
gpt-4o-mini,vector,full,30,0,4.7,0.6513,0.1189,3.7,1.2905,0.2356,3.8333,1.5555,0.284,4.7667,0.6261,0.1143,5.0,0.0,0.0,2.5,0.7768,0.1418,4.0833,0.7281,0.1329,0.2667,0.0
