model,mode,pipeline,n,coverage_score_avg,support_score_avg,unsupported_ratio_avg,objective_score_avg,objective_pass_rate
claude-haiku-4-5-20251001,graph,full,1950,0.6325,0.6086,0.3914,0.6218,0.7692
claude-haiku-4-5-20251001,hybrid,full,1950,0.6269,0.6117,0.3883,0.62,0.7749
claude-haiku-4-5-20251001,hybrid,no_resolution,650,0.6574,0.6441,0.3559,0.6514,0.8046
claude-haiku-4-5-20251001,hybrid,no_retrieval,650,0.4948,0.5169,0.4831,0.5048,0.5769
claude-haiku-4-5-20251001,vector,full,1941,0.6073,0.5922,0.4078,0.6005,0.7223
gpt-4o-mini,graph,full,1916,0.5221,0.6514,0.3486,0.5803,0.7641
gpt-4o-mini,hybrid,full,1936,0.5115,0.6518,0.3482,0.5746,0.7634
gpt-4o-mini,hybrid,no_resolution,648,0.5341,0.6795,0.3205,0.5995,0.7685
gpt-4o-mini,hybrid,no_retrieval,650,0.4727,0.5531,0.4469,0.5089,0.64
gpt-4o-mini,vector,full,1883,0.5587,0.6193,0.3807,0.586,0.7658
