model,mode,pipeline,n,coverage_score_avg,support_score_avg,unsupported_ratio_avg,objective_score_avg,objective_pass_rate
claude-haiku-4-5-20251001,graph,full,1950,0.6539,0.6086,0.3914,0.6335,0.7692
claude-haiku-4-5-20251001,hybrid,full,1950,0.6479,0.6117,0.3883,0.6316,0.7749
claude-haiku-4-5-20251001,hybrid,no_resolution,650,0.6792,0.6441,0.3559,0.6634,0.8046
claude-haiku-4-5-20251001,hybrid,no_retrieval,650,0.5115,0.5169,0.4831,0.5139,0.5769
claude-haiku-4-5-20251001,vector,full,1941,0.6288,0.5922,0.4078,0.6123,0.7223
gpt-4o-mini,graph,full,1916,0.5399,0.6514,0.3486,0.59,0.7641
gpt-4o-mini,hybrid,full,1936,0.5301,0.6518,0.3482,0.5848,0.7634
gpt-4o-mini,hybrid,no_resolution,648,0.5527,0.6795,0.3205,0.6098,0.7685
gpt-4o-mini,hybrid,no_retrieval,650,0.488,0.5531,0.4469,0.5173,0.64
gpt-4o-mini,vector,full,1883,0.5787,0.6193,0.3807,0.597,0.7658
