reqId,n_neighbors,n_rel_types,n_specs,n_docs_via_chunks,n_conflicts,n_affects,n_supersede
R1,3,2,1,1,1,0,0
R100b,2,2,0,2,0,1,0
R102d,2,2,0,3,1,0,0
R103d,2,2,0,2,1,1,0
R2,3,2,1,1,0,2,1
R21,1,1,1,3,0,0,0
R22,1,1,0,3,0,1,0
R23,1,1,0,4,0,0,0
R24,1,1,0,3,0,1,0
R25,9,3,1,4,0,7,0
R26,1,1,1,3,0,1,0
R29,3,3,0,3,0,1,0
R3,2,1,1,1,0,0,0
R30,2,1,0,3,0,2,0
R31,2,2,0,4,0,1,0
R31b,1,1,1,3,0,0,0
R32,2,1,1,2,0,0,0
R33,3,3,1,3,1,1,1
R34,2,2,0,2,0,1,0
R37,2,2,0,3,0,1,0
R38,7,2,0,4,0,3,0
R39,2,2,0,3,0,1,0
R4,1,1,1,2,0,0,1
R41,2,2,1,2,0,1,0
R43,3,3,1,4,1,0,0
R44,2,1,0,2,0,2,0
R45,3,3,0,2,0,1,0
R47,3,3,1,4,0,1,0
R48,1,1,0,2,0,0,0
R49,3,3,0,3,1,1,0
R5,2,2,0,2,0,1,0
R50,3,2,0,3,2,0,0
R51,2,2,0,4,1,0,0
R51c,1,1,1,2,0,0,0
R52c,2,1,0,2,0,2,0
R58c,5,4,1,3,1,1,0
R6,2,2,0,3,0,1,0
R60c,4,3,0,3,1,2,0
R61,1,1,1,3,0,0,0
R61c,2,1,0,2,0,0,0
R62,4,2,1,3,0,3,0
R63,7,4,1,3,1,2,0
R64,2,2,0,2,0,1,0
R65,2,2,0,4,0,1,0
R69,5,2,0,4,0,3,0
R7,2,2,0,3,0,0,1
R70,4,3,0,4,1,2,0
R71,3,3,0,3,1,1,0
R71b,3,3,1,3,0,1,0
R72,1,1,0,2,0,0,0
R72b,6,4,1,3,1,2,0
R74,2,2,1,4,0,1,0
R79b,4,3,0,2,1,2,0
R80,5,3,0,3,2,2,0
R81b,3,2,0,3,0,2,0
R81c,1,1,1,2,0,0,0
R82b,1,1,0,3,0,0,0
R83b,2,2,1,2,0,1,0
R84b,3,3,1,4,0,1,0
R87b,1,1,0,3,0,0,0
R91c,2,2,0,4,0,1,0
R91d,2,2,1,2,0,1,0
R92c,1,1,0,3,0,1,0
R93c,1,1,1,2,0,1,0
R97b,3,3,0,3,0,1,0
