reqId,testId,mode,model,coverage_score,support_score,objective_score
R1,R1_1,hybrid,gpt-4o-mini,0.3333,0.8,0.5433
R1,R1_2,hybrid,gpt-4o-mini,0.8333,0.9524,0.8869
R1,R1_3,hybrid,gpt-4o-mini,0.3333,0.8667,0.5733
R1,R1_4,hybrid,gpt-4o-mini,0.3333,0.8333,0.5583
R1,R1_5,hybrid,gpt-4o-mini,0.3333,0.9375,0.6052
R1,R1_6,hybrid,gpt-4o-mini,0.3333,0.9286,0.6012
R1,R1_7,hybrid,gpt-4o-mini,0.3333,1.0,0.6333
R1,R1_8,hybrid,gpt-4o-mini,0.5833,0.8571,0.7065
R1,R1_9,hybrid,gpt-4o-mini,0.5,1.0,0.725
R1,R1_10,hybrid,gpt-4o-mini,0.5833,0.76,0.6628
R7,R7_1,graph,gpt-4o-mini,0.4,0.5833,0.4825
R7,R7_2,graph,gpt-4o-mini,0.4,0.4615,0.4277
R7,R7_3,graph,gpt-4o-mini,0.4,0.6471,0.5112
R7,R7_4,graph,gpt-4o-mini,0.2,0.4167,0.2975
R7,R7_5,graph,gpt-4o-mini,0.4,0.5,0.445
R7,R7_6,graph,gpt-4o-mini,0.2,0.3846,0.2831
R7,R7_7,graph,gpt-4o-mini,0.4,0.5263,0.4568
R7,R7_8,graph,gpt-4o-mini,0.4,0.6667,0.52
R7,R7_9,graph,gpt-4o-mini,0.2,0.2857,0.2386
R7,R7_10,graph,gpt-4o-mini,0.4,0.5263,0.4568
R100b,R100b_1,graph,gpt-4o-mini,1.0,0.5882,0.8147
R100b,R100b_2,graph,gpt-4o-mini,1.0,0.5333,0.79
R100b,R100b_3,graph,gpt-4o-mini,1.0,0.6667,0.85
R100b,R100b_4,graph,gpt-4o-mini,1.0,0.6667,0.85
R100b,R100b_5,graph,gpt-4o-mini,1.0,0.5,0.775
R100b,R100b_6,graph,gpt-4o-mini,1.0,0.6111,0.825
R100b,R100b_7,graph,gpt-4o-mini,1.0,0.6667,0.85
R100b,R100b_8,graph,gpt-4o-mini,1.0,0.5909,0.8159
R100b,R100b_9,graph,gpt-4o-mini,1.0,0.5714,0.8071
